"","Player Name","Position","BPM_Pred","Percentile","GP","MPG","PPG","REBPG","ASTPG","STLPG","BLKPG","TOPG","FG.","FT.","X3P.","TMIN","FGM","FGA","FTM","FTA","X3PM","X3PA","PTS","OR","DR","TREB","AST","TO","STL","BLK","Institution"
"11","MEGHAN BOYD","G",6.80364632578745,0.95,30,30.3,11.1,3,1.9,0.8,0.2,2.3,34.1,91.7,31.6,908,108,317,55,60,61,193,332,6,85,91,58,68,24,6,"University of Denver"
"12","MYA BURNS","G",6.70271316565356,0.95,28,25.8,11.7,5.3,1,1.1,0.5,1.6,37.7,78.9,33.1,723,107,284,71,90,42,127,327,58,90,148,27,44,32,14,"Georgia Southern University"
"13","JADA DAPAA","C",6.6880211080436,0.95,30,33.4,9.4,12.6,2.6,1.2,0.5,2.4,44.1,72.2,20,1001,112,254,57,79,1,5,282,115,263,378,79,73,35,14,"Saint Francis University (Pennsylvania)"
"14","JIREH WASHINGTON","G",6.6362317565828,0.94,24,26.5,14.4,3.5,3.2,1.9,0.1,2,48.8,71.9,37.7,635,119,244,82,114,26,69,346,24,61,85,76,48,45,3,"Arkansas State University"
"15","BRIE PERPIGNAN","G",6.55804740957002,0.94,29,34.1,16.6,3.7,5.5,1.8,0.4,3.7,40.9,81.1,29.2,988,159,389,137,169,26,89,481,30,78,108,159,107,51,11,"Elon University"
"16","JESSICA RIOS","G",6.55758545021044,0.94,19,23.3,4.4,1.7,0.6,0.4,0.1,0.5,40,0,41.2,443,28,70,0,0,28,68,84,1,31,32,12,9,8,2,"California State University, Sacramento"
"17","MORGAN JONES","G",6.54750312645343,0.94,30,26.8,13.8,5.7,1.6,1.1,1,2.1,46,76.8,0,805,154,335,106,138,0,5,414,39,131,170,47,62,33,30,"Florida State University"
"18","EMMA SQUIRES","F",6.51742730725264,0.93,30,21.4,10.8,3.9,0.9,0.9,0.7,1.9,49.5,81,44.1,642,110,222,51,63,52,118,323,25,91,116,27,57,27,20,"University of Richmond"
"19","SYDNEY FREEMAN","G",6.49874367779177,0.93,31,33,11.1,2.7,4,1.4,0.3,2.2,36.3,81.8,28.1,1023,122,336,45,55,55,196,344,3,82,85,125,69,43,8,"Ball State University"
"20","BRYNNA MAXWELL","G",6.44523428508639,0.93,33,20.6,10.6,3.2,0.9,0.5,0.2,1,39.7,88.5,38,680,106,267,69,78,68,179,349,11,94,105,30,33,15,5,"University of Utah"
"21","SAVANNAH WHEELER","G",6.43489148851847,0.93,28,34.6,20.3,4.4,2.3,1.3,0.2,3,42.8,81.7,34.5,969,185,432,138,169,60,174,568,18,105,123,63,84,37,6,"Marshall University"
"22","SARA BERSHERS","G",6.40538265019942,0.92,29,30.6,13.5,5.7,1.6,1.3,1.3,2.3,37.2,86,36.2,888,121,325,86,100,64,177,392,40,124,164,47,66,37,38,"The University of Texas Rio Grande Valley"
"23","KATIE HORYNA","G",6.39887663281555,0.92,17,7.4,1.6,0.9,0.7,0.2,0,0.2,42.9,50,43.8,125,9,21,2,4,7,16,27,6,10,16,12,3,3,0,"Abilene Christian University"
"24","SHAY FREDERICK","G",6.36973565047226,0.92,30,34.2,11.9,3.6,4.8,1,0,2.8,37.3,82.7,29.7,1025,115,308,81,98,47,158,358,13,96,109,144,84,30,1,"Valparaiso University"
"25","CAITLYN HARPER","F",6.35816503767845,0.92,32,30.1,17.8,5.9,1.3,1.3,1.6,1.8,53,74,30.5,964,223,421,94,127,29,95,569,36,153,189,40,58,41,51,"California Baptist University"
"26","KAYLIN RANDHAWA","G",6.35302489130367,0.92,29,32.6,11.9,4.9,2.4,1.3,0.2,3.1,35.4,84.4,29.1,944,107,302,92,109,39,134,345,31,111,142,71,91,39,6,"Utah State University"
"27","SASHA KOENIG","G",6.3368443311475,0.92,13,6.9,0.8,0.5,0.3,0.4,0.1,0.6,23.5,0,23.1,90,4,17,0,0,3,13,11,1,6,7,4,8,5,1,"Bradley University"
"28","PAIGE BRADFORD","F",6.30328618956255,0.91,32,29.4,9.2,8.3,2.3,0.6,0.9,1.9,43.3,72.5,27,942,120,277,29,40,24,89,293,69,198,267,75,60,20,28,"University of Missouri-Kansas City"
"29","MARIA CARVALHO","G",6.28113268172338,0.91,29,36.1,13.6,4.7,3.2,1.2,0.1,3,37.3,87.3,33.3,1046,148,397,48,55,49,147,393,25,110,135,93,88,36,2,"Utah Valley University"
"30","CALLIE CAVANAUGH","F",6.27992082693861,0.91,32,32.6,9.7,4.3,1.3,0.7,0.7,1.4,45.9,70.4,10.5,1042,135,294,38,54,2,19,310,46,90,136,41,44,22,22,"Fairfield University"
"31","DIAMOND CANNON","G",6.23331425546413,0.9,5,3,1.8,0.6,0.2,0,0,0,50,50,50,15,3,6,1,2,2,4,9,1,2,3,1,0,0,0,"Bradley University"
"32","MALEIA BRACONE","G",6.22533908560938,0.9,29,29,10.6,4.6,2.6,1.7,0.1,3.9,40.4,64.4,32.9,840,114,282,29,45,51,155,308,13,121,134,76,113,49,3,"Presbyterian College"
"33","LANDRY WILLIAMS","G",6.2239178434964,0.9,8,3.1,2.6,0.3,0.1,0,0,0.3,53.8,0,53.8,25,7,13,0,0,7,13,21,0,2,2,1,2,0,0,"University of Missouri-Kansas City"
"34","DESTYNE JACKSON","G",6.18368737572048,0.9,20,32.5,13.4,2.5,1.7,1.1,0.3,2,34.8,60.4,32.7,650,102,293,29,48,35,107,268,7,42,49,33,39,21,5,"Wright State University"
"35","COURTNEY MURPHY","G",6.18067462945695,0.9,30,27.7,8.8,4.7,1,1.2,0.2,1.2,34.9,88,30.9,830,87,249,44,50,47,152,265,25,116,141,29,37,37,5,"Seattle University"
"36","EMMA GROTHAUS","F",6.16210620042794,0.9,30,30.5,12.6,9.1,1.5,1,1.8,2.2,44.8,72.9,30.5,916,151,337,51,70,25,82,378,77,196,273,45,65,31,55,"Lehigh University"
"37","SONIA SMITH","G",6.15650558576281,0.9,25,31.2,13,3.5,4.2,1.8,0.2,3.5,37.1,74.1,33.7,781,119,321,60,81,28,83,326,16,71,87,105,88,45,6,"Sacred Heart University"
"38","HANNA CAVINDER","G",6.15415635051684,0.9,29,37,14.5,3.9,3.7,1.8,0.1,2.6,39,80.5,36.2,1073,156,400,66,82,42,116,420,16,97,113,107,74,51,2,"California State University, Fresno"
"39","MAYSON KIMBALL","F",6.11471440467306,0.89,26,31.1,11.9,3.9,1.8,1,0.5,3.3,33.4,64.6,28.5,808,114,341,42,65,39,137,309,26,76,102,46,86,25,12,"Merrimack College"
"40","KIRSTEN DEANS","G",6.09337877140746,0.89,18,30.6,14.5,2.8,3.7,1.6,0.1,2.7,40.7,90,31.4,550,90,221,54,60,27,86,261,7,43,50,66,48,29,1,"West Virginia University"
"41","TATUM KOENIG","G",6.08673347843655,0.89,28,34.4,12,3.3,3.6,1.1,0.2,2.6,38.6,79.8,33.1,963,107,277,79,99,43,130,336,16,77,93,100,73,30,6,"Bradley University"
"42","BELLA STEIDLE","G",6.08537973153431,0.89,13,5.9,0.8,0.7,0.1,0.3,0,0.2,25,71.4,50,77,2,8,5,7,2,4,11,2,7,9,1,3,4,0,"Loyola University Maryland"
"43","AZIAH HUDSON","G",6.05292242656336,0.89,34,19.4,5.5,0.9,0.5,0.8,0,0.6,38.9,70.3,34.5,659,61,157,26,37,38,110,186,11,21,32,18,20,26,1,"Old Dominion University"
"44","SOPHIA SINGER","G",6.03702013759134,0.88,11,5.7,0.8,0.8,0.1,0.1,0.1,0.1,23.1,50,25,63,3,13,1,2,2,8,9,4,5,9,1,1,1,1,"Western Carolina University"
"45","LEILA PATEL","G",6.02744607249544,0.88,3,9.7,2,1.3,0.3,0,0,0,40,0,40,29,2,5,0,0,2,5,6,0,4,4,1,0,0,0,"George Washington University"
"46","DENA JARRELLS","G",6.01212000401207,0.88,28,30,10.4,2.5,2.7,1.5,0,3,37.5,67.3,35.2,841,100,267,35,52,57,162,292,16,53,69,76,83,42,1,"University of Tennessee at Chattanooga"
"47","NAOMIE ALNATAS","G",6.00877614517119,0.88,32,33.2,18.6,3.8,5.3,1.8,0.1,2.9,47.1,84.6,41.8,1063,218,463,104,123,56,134,596,32,90,122,170,93,59,2,"University of Missouri-Kansas City"
"48","KAYLA CLARK","G",5.97388883741604,0.88,13,4.5,1.5,0.9,0.2,0.2,0,0,57.1,91.7,33.3,59,4,7,11,12,1,3,20,3,9,12,3,0,3,0,"Southern Utah University"
"49","GREYSON BOONE","G",5.96735889688708,0.87,34,18.6,2.9,2.1,0.8,0.5,0.1,0.5,25.2,50,24,633,34,135,2,4,29,121,99,29,41,70,27,18,16,4,"Furman University"
"50","HAYLEY MOORE","G",5.94714069834507,0.87,29,33.1,7.9,2.6,1.6,1.1,0,1.2,35.2,73.3,32.3,961,83,236,11,15,52,161,229,18,56,74,45,34,31,1,"Binghamton University"
"51","MIKAYLA ETIENNE","G",5.93250911914102,0.87,25,28.6,11.8,3.8,2.2,1.7,0,3.8,30.2,66.7,24.9,716,111,367,30,45,43,173,295,29,66,95,54,94,43,1,"Mississippi Valley State University"
"52","AALIYAH NYE","G",5.91301492420718,0.87,27,29.7,12.4,3,1.2,1,0.4,1.9,41.7,65.8,36.9,801,120,288,25,38,69,187,334,22,59,81,33,52,27,11,"University of Illinois Urbana-Champaign"
"53","KURSTYN HARDEN","F",5.84879940686933,0.86,31,25.6,12.2,7.7,1.3,0.6,0.9,2.5,49.7,62.7,0,795,150,302,79,126,0,0,379,78,161,239,41,79,20,27,"University of Northern Colorado"
"54","ELIANA BRAVINGTON","C",5.82594465240323,0.86,10,5.1,2.4,1.1,0.2,0,0.2,0.1,42.9,50,27.3,51,9,21,3,6,3,11,24,5,6,11,2,1,0,2,"California Baptist University"
"55","MONTANA OLTROGGE","F",5.82291542830315,0.86,31,23.7,10.1,4,0.8,0.6,0.5,1.6,38.5,81.8,29.5,736,122,317,27,33,41,139,312,36,87,123,25,50,20,15,"Idaho State University"
"56","MACEY LEE","G",5.81224047963302,0.86,29,25.2,10.3,5.9,0.7,0.9,0.3,1.4,42.1,65.3,31.2,732,102,242,66,101,29,93,299,45,126,171,21,41,25,10,"University of North Alabama"
"57","KAYLA CLARK","C",5.81124584581558,0.86,26,22.8,8.3,8.2,0.4,1,0.6,1,50.9,53.6,0,593,82,161,52,97,0,2,216,86,128,214,11,25,27,15,"Southern Utah University"
"58","HALEY CAVINDER","G",5.80502374628633,0.86,29,38.2,19.8,9.4,5.7,1.5,0.1,2.9,44.8,97.3,37.3,1107,205,458,109,112,56,150,575,40,234,274,166,84,43,4,"California State University, Fresno"
"59","ALYSSA GEARY","F",5.80151455934084,0.86,30,26.4,9.5,4.2,2,0.4,1.1,3,37.7,81.8,18.2,792,109,289,54,66,14,77,286,20,106,126,61,91,13,32,"Providence College"
"60","JAZMINE MASSENGILL","G",5.78566459897869,0.85,30,33.6,7,3.6,4.7,1.1,0.8,1.7,40.6,54.1,29.5,1008,88,217,20,37,13,44,209,25,82,107,141,51,34,23,"University of Kentucky"
"61","TIYA DOUGLAS","G",5.73147356753634,0.85,18,8.1,0.9,0.3,0.2,0.4,0.1,0.1,22.2,0,21.1,146,6,27,0,0,4,19,16,2,4,6,4,2,8,2,"University of Mississippi"
"62","CHRISLYN CARR","G",5.72862181785539,0.85,29,36.6,14.2,3.2,2.7,1.3,0.1,2.6,44,83.6,37.2,1061,153,348,56,67,51,137,413,13,81,94,77,76,38,3,"Syracuse University"
"63","MAKAYLA DICKENS","G",5.70010297598951,0.85,30,22.5,9.2,3.3,2.8,0.7,0,2.6,40.6,76.1,35.4,676,95,234,35,46,52,147,277,20,79,99,83,79,21,1,"Boston College"
"64","JUSTINA KING","G",5.68240121117559,0.84,28,36.6,11.9,2.3,4.3,2,0.2,2.8,33.2,75,25.7,1026,118,355,72,96,26,101,334,14,51,65,121,77,57,6,"Long Beach State University"
"65","ALICE STEVENSON","F",5.67266846636074,0.84,11,5.9,1.2,1.1,0.1,0.1,0,0.5,33.3,50,50,65,4,12,3,6,2,4,13,1,11,12,1,5,1,0,"Abilene Christian University"
"66","BETHANY CARSTENS","G",5.65635818671777,0.84,5,3,2.4,0.8,0,0.2,0,0,45.5,100,25,15,5,11,1,1,1,4,12,1,3,4,0,0,1,0,"University of Nevada, Reno"
"67","ADEBOLA ADEYEYE","F",5.65414112328027,0.84,28,20.2,6.5,6.1,0.3,0.8,0.6,0.8,56.2,56.7,0,566,82,146,17,30,0,0,181,78,94,172,9,22,23,16,"University at Buffalo, the State University of New York"
"68","LAILA FAIR","F",5.65229852603472,0.84,24,21.2,8.6,4.7,1,0.8,0.9,1.3,51.2,59,0,508,85,166,36,61,0,0,206,50,62,112,24,30,19,21,"Saint Joseph's University"
"69","LANDYN OWENS","G",5.60195403352269,0.83,7,3.9,0.4,0.3,0,0,0,0.3,25,0,25,27,1,4,0,0,1,4,3,0,2,2,0,2,0,0,"Stetson University"
"70","MIA HURST","G",5.5901567890117,0.83,9,2.2,0.3,0.3,0.2,0.1,0,0.3,25,0,33.3,20,1,4,0,0,1,3,3,1,2,3,2,3,1,0,"University of Tennessee at Martin"
"71","SHAY-LEE KIRBY","G",5.58465188308458,0.83,30,26.2,7.2,2.9,0.7,0.7,0.3,1.1,41.7,64.3,39.8,785,75,180,18,28,47,118,215,32,55,87,20,33,22,8,"Austin Peay State University"
"72","NEVAEH DEAN","F",5.56252828787586,0.83,18,9,1,1.7,0.5,0.2,0.2,0.4,36.8,33.3,28.6,162,7,19,2,6,2,7,18,11,20,31,9,7,4,3,"University of Cincinnati"
"73","KY'LIE SCOTT","G",5.4493452653918,0.82,5,5.4,1.2,0.4,0.4,0,0,0.8,25,0,66.7,27,2,8,0,2,2,3,6,1,1,2,2,4,0,0,"Sam Houston State University"
"74","RYAN COBBINS","G",5.42556232418053,0.81,29,31.6,11.4,4.7,1.3,0.7,0.1,1.9,38.3,72.7,36.5,916,118,308,56,77,38,104,330,30,106,136,37,54,19,3,"North Dakota State University"
"75","TAYA HANSON","G",5.35493657592322,0.81,26,30,8.3,3.7,2.1,1.2,0.6,2.5,31.1,88.7,28.9,780,68,219,47,53,33,114,216,28,67,95,55,66,32,15,"Arizona State University"
"76","ADRYANA QUEZADA","G",5.34551558821683,0.81,28,29.5,15.2,7.9,1.8,1.1,0.5,2,53.6,70.4,42.1,826,180,336,57,81,8,19,425,85,135,220,50,56,32,15,"Utah State University"
"77","MYRA STRICKLAND","G",5.32249795482166,0.8,29,28.4,9.6,2.6,2.1,1,0,3.6,34.4,67.6,30.7,823,85,247,73,108,35,114,278,7,67,74,62,104,29,0,"Winthrop University"
"78","SYDNEY WATKINS","G",5.31214866696796,0.8,29,9.8,3.2,0.6,0.3,0.2,0,0.4,32.7,0,36.1,285,32,98,0,0,30,83,94,0,16,16,8,12,5,0,"Manhattan College"
"79","SYDNEY WATKINS","G",5.31214866696796,0.8,15,5.2,0.3,0.7,0.2,0.6,0,0.3,20,50,0,78,2,10,1,2,0,0,5,4,6,10,3,5,9,0,"Manhattan College"
"80","LYRIC COLE","F",5.28787331879334,0.8,30,21,6.6,5.6,0.3,1.1,0.8,1.2,62.9,40,0,631,88,140,22,55,0,0,198,63,106,169,8,35,34,25,"Austin Peay State University"
"81","RILEY DONAHUE","G",5.24689902897243,0.79,7,2.6,1.3,0.4,0,0.1,0,0.1,33.3,75,50,18,2,6,3,4,2,4,9,0,3,3,0,1,1,0,"Auburn University"
"82","CIAJA HARBISON","G",5.2207626885663,0.79,24,37.5,17.5,2.3,2.3,1.3,0,3,39.9,79.5,30.7,900,160,401,70,88,31,101,421,15,41,56,56,71,30,0,"Saint Louis University"
"83","SUMMAH EVANS","F",5.19570233579251,0.79,26,19.4,7.1,3.2,0.9,1.2,0.5,1.4,38.9,78.8,25.7,504,70,180,26,33,18,70,184,19,63,82,24,36,31,14,"University of North Florida"
"84","KAHLAIJAH DEAN","G",5.1951349433897,0.79,23,28.4,15.8,4.4,2.2,1.8,0.1,2.7,37.2,80.8,28.2,654,113,304,97,120,40,142,363,25,76,101,50,61,41,2,"Oakland University"
"85","SARAH LIBERATORE","G",5.16056852645164,0.79,9,4.7,1.9,0.6,0.4,0.2,0,0.3,35.7,75,40,42,5,14,3,4,4,10,17,4,1,5,4,3,2,0,"Marshall University"
"86","MIA LAKSTIGALA","G",5.10194458181865,0.78,22,29.8,10.9,5.5,2,1.2,0.4,2.2,38.8,73,36.4,656,83,214,27,37,47,129,240,24,98,122,45,48,26,9,"University of Pennsylvania"
"87","BROOKE MOORE","G",5.09489648153396,0.78,32,19.9,10.3,1.9,1,0.8,0.3,1.8,39.8,83.3,36.5,636,119,299,50,60,42,115,330,18,44,62,32,58,26,8,"Purdue University"
"88","OCEANE ROBIN","G",5.07865312853338,0.77,15,5.7,1.1,1.5,0.3,0.1,0.1,0.2,26.9,33.3,9.1,86,7,26,2,6,1,11,17,7,16,23,4,3,1,2,"California Baptist University"
"89","BRINAE ALEXANDER","F",5.06870373749608,0.77,32,32.9,15.2,3.5,1.4,2,0.3,2.8,40.9,77.8,36.3,1053,181,443,63,81,61,168,486,38,74,112,46,90,63,10,"Vanderbilt University"
"90","JAMIYA BRAXTON","G",5.05470705552067,0.77,25,21.1,4.8,3,0.9,0.5,0,0.8,27.5,57.1,28.2,527,42,153,4,7,33,117,121,16,60,76,22,21,13,1,"Northwestern State University"
"91","MARY BASKERVILLE","F",5.05062763408654,0.77,23,18.9,7,5.5,0.9,1.7,1.9,1.8,43.9,60.9,100,435,61,139,39,64,1,1,162,26,100,126,20,42,39,43,"Providence College"
"92","DEJAH JENKINS","G",5.04437460757041,0.77,26,29.2,7.9,3.5,1.8,0.9,0.2,1.6,33.8,65.5,37.8,760,75,222,19,29,37,98,206,24,66,90,48,42,24,5,"Central Connecticut State University"
"93","KHARIS IDOM","G",5.0002214072878,0.76,26,28.3,9.8,3.1,2.2,1.3,0.1,3.7,32,76.7,36.9,736,90,281,33,43,41,111,254,13,68,81,58,96,34,3,"University of Massachusetts Lowell"
"94","KENDALL CURRENCE","G",4.98789766345792,0.76,27,31.5,15.9,3.9,1.7,1,0.1,2.5,42.9,78.9,27,851,162,378,71,90,33,122,428,27,77,104,45,67,28,2,"Northeastern University"
"95","TORI GARZA","F",4.98462196048437,0.76,12,4.1,1.3,0.2,0.1,0.2,0,0,28.6,0,20,49,6,21,0,0,3,15,15,0,2,2,1,0,2,0,"Oklahoma State University"
"96","BRANDY THOMAS","G",4.97791559824896,0.76,24,29.2,12.7,6.2,1.9,1.9,0.2,3.1,36.7,85.1,40.7,700,105,286,57,67,37,91,304,43,105,148,46,74,46,5,"Long Island University"
"97","TOMI TAIWO","G",4.97384007922464,0.76,32,17.3,4.6,2,0.9,0.7,0.1,0.8,48.5,88.5,46.6,555,48,99,23,26,27,58,146,14,50,64,28,27,23,3,"University of Iowa"
"98","LATRICE PERKINS","G",4.9551666637648,0.76,31,27.7,11.9,4.4,1.8,1.7,0.3,1.4,46.4,75,25,859,159,343,33,44,19,76,370,62,73,135,56,44,52,8,"College of Charleston (South Carolina)"
"99","JORDYN HUGHES","G",4.95051172605334,0.75,30,25.4,7.5,3.3,2.2,1.3,0.1,1.8,38.8,78.9,40.2,762,80,206,30,38,35,87,225,9,90,99,66,55,40,4,"Eastern Illinois University"
"100","VANNESSA GARRELTS","G",4.94673450187995,0.75,28,18.4,2.4,1.9,2.2,1.4,0.1,1.1,28.9,50,24.6,516,24,83,1,2,17,69,66,22,30,52,61,31,39,2,"Miami University (Ohio)"
"101","ANNA GRET ASI","G",4.91183339289612,0.75,7,7,1.9,0.7,0.9,0.4,0,0.9,41.7,0,50,49,5,12,0,0,3,6,13,1,4,5,6,6,3,0,"University of Arizona"
"102","JORDAN CRUZ","G",4.90876430287602,0.75,24,19.6,6.8,1.3,1,0.8,0,1.2,31.8,85.2,33.3,470,49,154,23,27,41,123,162,1,31,32,23,28,18,1,"University of the Pacific"
"103","ALYSSA CHAPMAN","F",4.89742388964866,0.75,17,9.6,2.7,1.1,0,0.1,0.4,0.2,34.7,100,27.8,164,17,49,2,2,10,36,46,5,14,19,0,3,1,7,"Radford University"
"104","JORDYN JENKINS","F",4.8231667428674,0.74,26,25.2,14.8,6.7,1.5,0.7,1,2.5,51.7,82.1,40,655,134,259,110,134,6,15,384,69,104,173,38,65,19,25,"University of Southern California"
"105","CALLIE WRIGHT","F",4.81798504345036,0.74,6,3.7,1.3,0.2,0.2,0,0,0.7,50,50,33.3,22,3,6,1,2,1,3,8,0,1,1,1,4,0,0,"University of Memphis"
"106","JULIANNA WALKER","G",4.77574156311132,0.73,12,7.5,1.9,0.2,0,0,0,0.3,27.6,0,25,90,8,29,0,0,7,28,23,1,1,2,0,3,0,0,"Syracuse University"
"107","JAZION JACKSON","G",4.76301714534629,0.73,30,31.1,9.2,3.8,2.9,1.1,0.2,2.3,39.6,75,25.3,933,101,255,51,68,22,87,275,33,80,113,87,68,33,7,"University of North Texas"
"108","JADA ROBERSON","G",4.7562504426127,0.73,23,30.7,13.7,6.3,2.5,2.4,0.3,2.7,35.9,64.9,22.8,705,123,343,50,77,18,79,314,64,82,146,58,61,55,7,"Wright State University"
"109","KAI CARTER","F",4.75462846895372,0.73,32,31.1,14.8,6.3,0.5,0.9,0,1.5,38.9,76.2,28.9,996,177,455,64,84,55,190,473,43,157,200,17,49,29,1,"University of North Carolina Asheville"
"110","AIJHA BLACKWELL","G",4.75047242488211,0.73,27,31.2,15.4,13,1.7,1,0.3,2.9,49.5,67.8,33.8,843,143,289,103,152,26,77,415,67,283,350,46,77,28,9,"University of Missouri, Columbia"
"111","ALLISON DAY","F",4.7406250841859,0.73,30,26.3,10.3,5.6,1.3,0.5,0.6,1.7,42.2,72.1,23.9,790,124,294,49,68,11,46,308,52,117,169,40,50,16,18,"Loyola University Chicago"
"112","ELLA SAWYER","G",4.71766807026208,0.72,33,27.5,5.3,4.8,3,1.5,0.2,2.4,35.6,69.7,30.3,908,62,174,23,33,27,89,174,28,131,159,99,79,50,6,"Austin Peay State University"
"113","ABBY WAHL","F",4.68676500992862,0.72,30,29.5,11.3,5.8,0.7,1.2,0.4,1.3,43.1,84.8,14.7,885,122,283,89,105,5,34,338,98,77,175,22,40,36,12,"Eastern Illinois University"
"114","TERRI SMITH","G",4.68477944186404,0.72,27,33.6,9.6,3,1.7,1.4,0.3,2.5,31.1,73.7,23.8,906,100,322,14,19,45,189,259,12,69,81,47,67,39,9,"Morehead State University"
"115","ERIN HEDMAN","F",4.66294179734326,0.72,7,2.4,1.1,0.9,0,0,0,0.4,28.6,50,28.6,17,2,7,2,4,2,7,8,3,3,6,0,3,0,0,"University of Minnesota, Twin Cities"
"116","LADAZHIA WILLIAMS","F",4.65026213194177,0.71,27,18.8,9.1,4.1,0.7,0.3,0.6,1.6,54.3,74.1,0,507,102,188,43,58,0,0,247,31,81,112,20,43,7,17,"University of Missouri, Columbia"
"117","GEORGIA KEHOE","F",4.63159655643953,0.71,25,18.8,7,4.8,1.2,0.8,1,1.7,45.3,35.6,0,469,77,170,21,59,0,1,175,47,74,121,30,43,21,26,"Seattle University"
"118","DALLAS CARTER","G",4.61420190791466,0.71,16,9,3.3,0.8,0.4,0.2,0.3,0.5,45,0,43.2,144,18,40,0,2,16,37,52,2,11,13,7,8,3,4,"Long Island University"
"119","ELISKA STEBETAKOVA","F",4.61329936281369,0.71,8,6.6,1.9,0.8,0.1,0,0.1,0.3,37.5,100,50,53,6,16,2,2,1,2,15,4,2,6,1,2,0,1,"University of Nevada, Reno"
"120","REAGAN RAPERT","G",4.61106433355285,0.71,31,27.8,8.5,3.3,3.6,1.2,0,2.6,32.8,87.3,29.3,861,81,247,69,79,34,116,265,20,83,103,112,80,38,0,"Wofford College"
"121","DALAYAH DANIELS","G",4.60917686778952,0.71,21,21.2,7.9,4.9,1.2,1,1.5,2,42.8,87.8,0,446,65,152,36,41,0,5,166,22,80,102,26,41,22,31,"University of California, Berkeley"
"122","AMIAYA MORGAN","G",4.60877538530688,0.71,1,30,5,1,1,1,0,3,66.7,0,100,30,2,3,0,1,1,1,5,0,1,1,1,3,1,0,"Delaware State University"
"123","TRINITY CLINTON","G",4.60765635624896,0.71,4,6.3,2.8,0.3,0.3,0.5,0.3,1.3,37.5,75,66.7,25,3,8,3,4,2,3,11,0,1,1,1,5,2,1,"Loyola University Chicago"
"124","JORDAN WAKEFIELD","G",4.57408659964587,0.7,29,27.2,8.4,4.3,0.7,0.9,0.7,2.1,30.7,77.2,26.4,788,75,244,61,79,34,129,245,32,93,125,21,60,26,19,"George Mason University"
"125","JOELLE JOHNSON","F",4.55777217009621,0.7,16,6.2,1.6,1.1,0.1,0.1,0.1,0.8,36.7,0,25,99,11,30,0,0,4,16,26,1,17,18,2,12,2,2,"Northern Kentucky University"
"126","IYANA DORSEY","G",4.51689267811563,0.7,25,21,10.4,1.7,1.3,1.6,0.2,1.7,34.3,83.8,28.3,525,68,198,93,111,30,106,259,15,28,43,32,43,41,4,"Tarleton State University"
"127","RENEYA HOPKINS","G",4.5146896983836,0.7,26,20.6,7.9,2.6,1.5,1.3,0.2,1.7,34.4,87.9,31.9,535,63,183,51,58,29,91,206,6,62,68,40,44,35,5,"North Dakota State University"
